tic,anchor_date,mkvaltq,EV,Pred_EBIT_dollar,True_EBIT_dollar,Pred_EBIT_EV,True_EBIT_EV
CSCO,2024-07-31,194139.15,246890.15,2737.617981586279,1518.8390602644995,0.011088405031898918,0.006151881961530258
NEM,2024-06-30,48192.37,60339.37,2609.390165889113,2663.059317855785,0.0432452338479688,0.044134688808580284
UAL,2024-06-30,16000.9651,54279.9651,2013.9902577336404,1951.757868022562,0.03710375004890415,0.03595724250055868
ALK,2024-06-30,5109.59,11813.59,419.448357709373,499.4091349466725,0.03550557939706499,0.04227412115594603
SWKS,2024-06-30,17020.826,17481.726,463.32178757541124,437.9836821364337,0.02650320612366372,0.025053800873920215
CNC,2024-06-30,34873.8663,67401.8663,1632.9631649908251,1222.0072014781886,0.02422726928246533,0.018130168622321793
UNH,2024-06-30,469028.46,609668.46,11380.915579049657,16884.682511041403,0.01866738453068354,0.027694859778446476
TPR,2024-06-30,9850.258,12976.957999999999,232.4757330204012,192.4991154006305,0.017914501458693263,0.014833916808594935
PYPL,2024-06-30,59886.96,110688.95999999999,1763.9760210829668,1547.7349820868726,0.0159363320522929,0.013982740302979382
HAS,2024-06-30,8153.7885,12286.0885,190.14823636445834,210.08390126161547,0.015476710619857439,0.017099331594560424
MMM,2024-06-30,56138.4853,71153.4853,771.0317182463006,607.577496901469,0.010836176400852996,0.008538970288521748
STX,2024-06-30,21705.4951,28439.4951,228.09070416802948,291.2523073855555,0.008020209337964986,0.010241120890558831
ILMN,2024-06-30,16596.42,19175.42,120.61508708055031,263.6596381580458,0.006290088409043991,0.013749875525962187
DECK,2024-06-30,24611.0967,24254.8137,129.53231793818244,463.2051981833609,0.005340478782493491,0.019097454382152643
LRCX,2024-06-30,138831.9485,141455.0665,433.0925668473403,654.0593806125244,0.0030616970997453838,0.004623796070340997
HWM,2024-06-30,31663.9573,35448.957299999995,94.97660079047726,-155.0646106704203,0.0026792494906606825,-0.004374306678702235
IT,2024-06-30,34800.3538,39863.224799999996,86.06242762154847,69.42535255177987,0.0021589429368380772,0.001741588968280857
AMZN,2024-06-30,2027192.5,2236166.5,4505.9413676233535,15732.865379863655,0.0020150294567168204,0.007035641299457646
MSFT,2024-06-30,3322626.3,3504400.3,-4954.077040850697,5803.251435223619,-0.001413673272671132,0.0016559898808431272
AAPL,2024-06-30,3206112.1906,3386253.1906,-5211.668635315824,9024.15976221233,-0.0015390664377321367,0.0026649394638483506
AMD,2024-06-30,262455.78,266782.78,-825.7755660157076,-1318.6908095014817,-0.0030953105969422296,-0.004942938256740114
MU,2024-05-31,138625.0,150874.0,5235.265280826426,6570.539779272212,0.03469958561996385,0.04354984808033334
ADBE,2024-05-31,199697.24,204471.24,2073.377738369786,983.1582750585331,0.010140192519836952,0.004808296145015471
CSCO,2024-04-30,189376.38,241190.38,3055.536226371944,2130.488563764506,0.012668565912006706,0.008833223629252982
NVDA,2024-04-30,2124625.18,2140506.18,-20316.836526870222,-6102.806949672923,-0.009491603769567356,-0.0028511045689543035
NEM,2024-03-31,41323.52,53739.52,2349.3328409071955,2491.2226195696007,0.04371704177683752,0.04635736641431857
UAL,2024-03-31,15743.0876,57560.0876,2401.7324773438736,2280.177230402167,0.04172565709131884,0.03961385962870159
ALK,2024-03-31,5404.1009,12251.100900000001,432.6958746102623,517.3538331169603,0.035318938121737475,0.04222917085900095
SWKS,2024-03-31,17374.528,17945.327999999998,502.7725068731197,536.3740898599654,0.0280169026095884,0.02988934444998528
CNC,2024-03-31,42095.3378,75068.33780000001,1980.2370992805672,2193.0732849685633,0.026379125438429078,0.02921435786698028
TPR,2024-03-31,10910.904,13903.704,321.70685390024494,306.1536212294119,0.023138212227493116,0.022019572714537933
HAS,2024-03-31,7867.9231,11528.6231,217.8927166935156,278.2509142335647,0.01890015093767057,0.024135658857089765
STX,2024-03-31,19538.8251,26518.8251,374.89439028257533,554.5261595573697,0.014136915525815485,0.020910660916021118
MMM,2024-03-31,58695.0013,81003.0013,1009.03557839226,715.0384570498551,0.01245676780117356,0.008827308193207097
PYPL,2024-03-31,70540.47,119505.47,1393.7336201952137,2102.5145447472037,0.01166250900645145,0.01759345864877318
UNH,2024-03-31,455124.0,592504.0,5776.039401278858,7619.653086184258,0.009748523893980223,0.012860087165967248
ILMN,2024-03-31,21833.88,24303.88,228.23562500202345,353.5132643861139,0.009390913097086697,0.014545548463295322
DECK,2024-03-31,24089.6672,23467.3262,201.70516254639045,355.47785546427355,0.008595148881784004,0.01514777833804831
LRCX,2024-03-31,127019.1755,129750.3515,1023.6061200359046,1159.566576710804,0.00788904313708857,0.008936905089700693
AMZN,2024-03-31,1876493.14,2078468.1399999997,7074.909078327944,18845.01704961659,0.0034039054735416564,0.009066781774011986
AAPL,2024-03-31,2630106.3953,2802302.3953,7705.611633800261,2171.263548229963,0.0027497430850874816,0.000774814149918863
HWM,2024-03-31,27931.0731,32453.0731,70.05218341920164,-12.633255522689794,0.0021585685646269854,-0.0003892776343171579
MSFT,2024-03-31,3127211.76,3296734.76,-2908.0326380719985,19244.33034429332,-0.000882094814953205,0.005837391159819397
IT,2024-03-31,37281.314,42535.304000000004,-121.54568924984072,38.564526470358885,-0.0028575248750976534,0.00090664748676438
AMD,2024-03-31,292032.82,295814.82,-2108.372181190731,-437.3813744603408,-0.007127337910895509,-0.0014785647806973997
MU,2024-02-29,100305.27,112110.27,3936.6929343801207,4130.146271853586,0.03511447197817043,0.03684003501065144
ADBE,2024-02-29,253806.84,258035.83999999997,17.708453788089756,727.9175239842118,6.862788435935782e-05,0.0028209938742781307
CSCO,2024-01-31,203229.0,226410.0,3089.5439788484855,1957.6619927823829,0.013645792936921891,0.008646535015160032
NVDA,2024-01-31,1516025.28,1527476.28,-15348.150556534236,-7521.416350365484,-0.010048045103871752,-0.004924080621641787
NEM,2023-12-31,47681.28,56039.28,2884.8119773197723,3461.399284745898,0.05147839118061068,0.06176737611093323
UAL,2023-12-31,13534.0639,56772.06390000001,1978.7154408134986,1251.1280445007972,0.03485368163290428,0.022037741074634368
TPR,2023-12-31,8444.214,11737.213999999998,288.1140031733365,258.54969808037197,0.024547052066473063,0.02202820005500215
CNC,2023-12-31,39664.0576,77490.0576,1843.6389200208691,1881.983740590831,0.02379194153574702,0.024286776896018606
HAS,2023-12-31,7086.5663,11154.5663,245.76781465926507,253.65439457452484,0.022032933244501406,0.022739960277480698
SWKS,2023-12-31,18009.684,18752.683999999997,350.7524613673361,329.64362089625695,0.018704120507087738,0.01757847681410602
MMM,2023-12-31,60408.1549,82077.1549,1428.5763111486922,984.3962364922228,0.017405285464502526,0.011993547262835531
HWM,2023-12-31,22184.5457,26717.5457,435.25139128045686,30.851465909564908,0.016290844831621524,0.0011547267947431604
ALK,2023-12-31,4926.3363,11900.336299999999,185.61928005189867,312.5694657338329,0.015597818025688794,0.02626559937922367
PYPL,2023-12-31,65831.52,113915.52,1226.4412497782223,1136.150849569204,0.010766234923724373,0.009973626504704573
ILMN,2023-12-31,22139.16,24751.16,240.11586224465182,-20.195462845488034,0.009701196317451458,-0.0008159400547484657
DECK,2023-12-31,17145.2295,16593.6125,137.97505752018606,-1.26172501674746,0.008314949955604065,-7.603678926137754e-05
UNH,2023-12-31,486458.28,615162.28,4360.827264424397,8069.397299425239,0.0070889054907989435,0.013117509902306167
LRCX,2023-12-31,102824.8063,106450.1263,632.5157143159685,737.9018181551581,0.005941897264953912,0.0069319017628554766
AMZN,2023-12-31,1577593.02,1791920.02,8616.319882650429,8549.330986905177,0.004808428828564809,0.004771044963773091
IT,2023-12-31,35339.0552,40651.784199999995,181.18640821155287,-50.95757047410493,0.004457034587218755,-0.0012535137504273413
STX,2023-12-31,17885.4419,25296.4419,76.05048031842215,366.1786322294306,0.003006370643707886,0.01447549950609578
AAPL,2023-12-31,2976556.7342,3153903.7342,-6223.858185314319,-4408.099232183664,-0.0019733824205934508,-0.001397664483028933
MSFT,2023-12-31,2794729.28,2969301.28,-9288.32511812631,7349.400378851492,-0.0031281181134055584,0.0024751278788562314
AMD,2023-12-31,238214.56,242365.56,-2084.035167629095,-1278.3998469203352,-0.008598726517204405,-0.00527467618303663
MU,2023-11-30,84036.48,94151.48,2972.8853707612734,2485.0648874853423,0.031575556441186835,0.026394326329074617
ADBE,2023-11-30,278009.55,283053.55,-1236.4588465450738,-236.27111730514451,-0.0043682859534709025,-0.0008347223248220859
CSCO,2023-10-31,211074.37,234616.37,4154.263825542776,2501.7263145331804,0.017706623904984876,0.010663050982048611
NVDA,2023-10-31,1005634.8,1017285.8,-10436.65294847706,-7573.026838244392,-0.010259312524048856,-0.00744434537299586
NEM,2023-09-30,29338.3,34855.3,1554.3725336852174,979.7946719005499,0.04459501234203169,0.028110349700061394
UAL,2023-09-30,13874.9499,58734.94990000001,2224.5589418702502,2151.3580650361846,0.037874535445381385,0.036628243808822666
ALK,2023-09-30,4713.6096,11495.6096,398.0246331118167,392.1112514149391,0.03462405622332692,0.03410965273341738
SWKS,2023-09-30,15725.105,16815.905,334.3603863946766,265.7890448891715,0.01988357964645237,0.015805812704649053
CNC,2023-09-30,36822.9725,74024.9725,1422.582501157694,1127.4075050309177,0.01921760256186105,0.015230096911294599
TPR,2023-09-30,6589.5,9767.6,173.0121469287844,257.1176562600067,0.01771286159637827,0.02632352433146389
MMM,2023-09-30,51707.9175,72088.91750000001,945.0704044390508,702.0108875118035,0.013109787706814304,0.00973812496923405
