date,holdings,scores
2010-08-31,"MU,ADBE","MU:0.0977,ADBE:0.0113"
2010-09-30,"MU,WDC,STX,ALK,NEM","MU:0.0977,WDC:0.0959,STX:0.0867,ALK:0.0539,NEM:0.0505"
2010-10-31,"MU,WDC,STX,ALK,NEM","MU:0.0977,WDC:0.0959,STX:0.0867,ALK:0.0539,NEM:0.0505"
2010-11-30,"MU,WDC,STX,ALK,NEM","MU:0.1170,WDC:0.0959,STX:0.0867,ALK:0.0539,NEM:0.0505"
2010-12-31,"MU,WDC,STX,HAS,AMD","MU:0.1170,WDC:0.0897,STX:0.0636,HAS:0.0514,AMD:0.0483"
2011-01-31,"MU,WDC,STX,HAS,AMD","MU:0.1170,WDC:0.0897,STX:0.0636,HAS:0.0514,AMD:0.0483"
2011-03-31,"MU,WDC,STX,AMD,ALK","MU:0.1170,WDC:0.0593,STX:0.0544,AMD:0.0535,ALK:0.0457"
2011-04-30,"MU,WDC,STX,AMD,ALK","MU:0.1170,WDC:0.0593,STX:0.0544,AMD:0.0535,ALK:0.0457"
2011-05-31,"MU,WDC,STX,AMD,ALK","MU:0.1021,WDC:0.0593,STX:0.0544,AMD:0.0535,ALK:0.0457"
2011-06-30,"MU,WDC,STX,ALK,AMD","MU:0.1021,WDC:0.0696,STX:0.0519,ALK:0.0474,AMD:0.0450"
2011-07-31,"MU,WDC,STX,ALK,AMD","MU:0.1021,WDC:0.0696,STX:0.0519,ALK:0.0474,AMD:0.0450"
2011-08-31,"MU,WDC,STX,ALK,AMD","MU:0.0715,WDC:0.0696,STX:0.0519,ALK:0.0474,AMD:0.0450"
2011-09-30,"WDC,MU,STX,DECK,ALK","WDC:0.0962,MU:0.0715,STX:0.0658,DECK:0.0619,ALK:0.0550"
2011-10-31,"WDC,MU,STX,DECK,ALK","WDC:0.0962,MU:0.0715,STX:0.0658,DECK:0.0619,ALK:0.0550"
2011-11-30,"WDC,STX,MU,DECK,ALK","WDC:0.0962,STX:0.0658,MU:0.0643,DECK:0.0619,ALK:0.0550"
2011-12-31,"WDC,STX,MU,UAL,ALK","WDC:0.1805,STX:0.0971,MU:0.0643,UAL:0.0562,ALK:0.0545"
