costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,acoq,aoq,apq,chq,cogsq,dd1q,dlcq,dlttq,invtq,lcoq,lctq,ltq,niq,ppentq,rectq,revtq,txpq,xrdq,xsgaq,oiadpy,mkvaltq
A,USD,STD,INDL,C,AAPL,2005-03-31,001690,544.0000,362.0000,1773.0000,,2235.0000,,0.0000,0.0000,164.0000,1579.0000,3352.0000,3725.0000,286.0000,742.0000,1242.0000,3243.0000,0.0000,120.0000,570.0000,800.0000,
A,USD,STD,INDL,C,AAPL,2005-06-30,001690,556.0000,348.0000,1530.0000,,2430.0000,,0.0000,0.0000,193.0000,1593.0000,3123.0000,3667.0000,319.0000,764.0000,1101.0000,3520.0000,0.0000,145.0000,618.0000,1226.0000,
A,USD,STD,INDL,C,AAPL,2005-09-30,001690,562.0000,434.0000,1779.0000,,2592.0000,,0.0000,0.0000,165.0000,1705.0000,3484.0000,4085.0000,428.0000,817.0000,1312.0000,3678.0000,0.0000,147.0000,618.0000,1643.0000,
A,USD,STD,INDL,C,AAPL,2005-12-31,001690,798.0000,1164.0000,2896.0000,,4133.0000,,0.0000,0.0000,244.0000,2164.0000,5060.0000,5801.0000,565.0000,855.0000,2413.0000,5749.0000,0.0000,182.0000,814.0000,750.0000,60791.4061
A,USD,STD,INDL,C,AAPL,2006-03-31,001690,872.0000,1620.0000,2108.0000,,3012.0000,,0.0000,0.0000,204.0000,2348.0000,4456.0000,5229.0000,410.0000,1005.0000,1984.0000,4359.0000,0.0000,176.0000,768.0000,1279.0000,53261.0714
A,USD,STD,INDL,C,AAPL,2006-06-30,001690,1008.0000,1426.0000,2513.0000,,2988.0000,,0.0000,0.0000,213.0000,2510.0000,5023.0000,5784.0000,472.0000,1197.0000,2094.0000,4370.0000,0.0000,175.0000,759.0000,1845.0000,48850.6228
A,USD,STD,INDL,C,AAPL,2006-09-30,001690,1284.0000,1415.0000,3390.0000,,3359.0000,,0.0000,0.0000,270.0000,3081.0000,6471.0000,7221.0000,542.0000,1281.0000,2845.0000,4837.0000,0.0000,179.0000,804.0000,2453.0000,65838.1457
A,USD,STD,INDL,C,AAPL,2006-12-31,001690,1379.0000,1435.0000,3885.0000,7159.0000,4821.0000,,0.0000,0.0000,303.0000,3452.0000,7337.0000,8233.0000,1004.0000,1362.0000,3113.0000,7115.0000,0.0000,184.0000,898.0000,1322.0000,72981.0648
A,USD,STD,INDL,C,AAPL,2007-03-31,001690,1577.0000,1273.0000,2403.0000,7095.0000,3346.0000,,0.0000,0.0000,208.0000,3082.0000,5485.0000,6450.0000,770.0000,1409.0000,1667.0000,5264.0000,0.0000,183.0000,863.0000,2308.0000,80338.6266
A,USD,STD,INDL,C,AAPL,2007-06-30,001690,1826.0000,1276.0000,3660.0000,7118.0000,3334.0000,,0.0000,0.0000,251.0000,3332.0000,6992.0000,8243.0000,818.0000,1626.0000,2901.0000,5410.0000,0.0000,208.0000,954.0000,3349.0000,106072.5305
